iata_code,name,continent,iso_country,municipality
GUG,Guari Airport,OC,PG,Guari
GRL,Garasa Airport,OC,PG,Au
GUR,Gurney Airport,OC,PG,Gurney
GAP,Gusap Airport,OC,PG,Gusap
PNP,Girua Airport,OC,PG,Popondetta
GBC,Gasuke Airport,OC,PG,Gasuke
HBD,Habi Airport,OC,PG,Habi
HNI,Heiweni Airport,OC,PG,Heiweni
HNN,Honinabi Airport,OC,PG,Honinabi
HKN,Kimbe Airport,OC,PG,Hoskins
HIT,Haivaro Airport,OC,PG,Haivaro
IMN,Imane Airport,OC,PG,Imane
KGM,Kungim Airport,OC,PG,Kungim
IMD,Imonda Airport,OC,PG,Imonda
IAL,Ialibu Airport,OC,PG,Ialibu
WIU,Witu Airport,OC,PG,Garove Island
KGH,Yongai Airport,OC,PG,Yongai
LSA,Losuia Airport,OC,PG,Losuia
KPA,Kopiago Airport,OC,PG,Kopiago
UNG,Kiunga Airport,OC,PG,Kiunga
KNE,Kanainj Airport,OC,PG,Kanainj
KRI,Kikori Airport,OC,PG,Kikori
KMA,Kerema Airport,OC,PG,Kerema
KRX,Kar Kar Airport,OC,PG,Kar Kar Island
KIE,Aropa Airport,OC,PG,Kieta
KUQ,Kuri Airport,OC,PG,Kuri
KVG,Kavieng Airport,OC,PG,Kavieng
LNV,Londolovit Airport,OC,PG,Londolovit
LAB,Lab Lab Airport,OC,PG,Lab Lab Mission
LWI,Lowai Airport,OC,PG,Lowai
LPN,Leron Plains Airport,OC,PG,Leron Plains
LNG,Lese Airport,OC,PG,Lese
LSJ,Long Island Airport,OC,PG,Long Island
AYM,Yas Island Seaplane Base,AS,AE,Abu Dhabi
MRM,Manari Airport,OC,PG,Manari
OBM,Morobe Airport,OC,PG,Morobe
MAG,Madang Airport,OC,PG,Madang
HGU,Mount Hagen Kagamuga Airport,OC,PG,Mount Hagen
GUV,Mougulu Airport,OC,PG,Mougulu
MDU,Mendi Airport,OC,PG,Mendi
MAS,Momote Airport,OC,PG,Manus Island
MXH,Moro Airport,OC,PG,Moro
MIS,Misima Island Airport,OC,PG,Misima Island
MWG,Marawaka Airport,OC,PG,Marawaka
NKN,Nankina Airport,OC,PG,Gwarawon
GBF,Negarbo(Negabo) Airport,OC,PG,Negarbo
MFO,Manguna Airport,OC,PG,Manguna
KSB,Kasonombe Airport,OC,PG,Kasonombe
NMN,Nomane Airport,OC,PG,Namane
NBA,Nambaiyufa Airport,OC,PG,Nambaiyufa
LAE,Nadzab Airport,OC,PG,Lae
KGB,Konge Airport,OC,PG,Konge
OKP,Oksapmin Airport,OC,PG,Oksapmin
HOC,Komako Airport,OC,PG,Komako
KCJ,Komaio Airport,OC,PG,Komaio
KDE,Koroba Airport,OC,PG,Koroba
OPB,Open Bay Airport,OC,PG,Maitanakunai
PGB,Pangoa Airport,OC,PG,Pangoa
